wallet,amount
0x41033EcAf9216aabE4404ECEeEf6FDb684811667,32
0x5338035c008EA8c4b850052bc8Dad6A33dc2206c,18
0xf42ADB5875E01C622252b53FdBDcADb2d0F2B116,11
0x3F3dEDd362020a229CcA78D19d535D6971fD667e,8
0x61503aD92E94cA295926854b35dfced55797f5a1,6
0x088814aa47878C126c527cF61e40955F38305De3,5
0x5F07B4cad526CA06a388fD86F4B42A1064cA4176,4
0x1fb15Dbaee24cd07887010960EeA11540eF21dA8,3
0x6e9930A0e485eaC1E3aCD902026e1eC59Cc3c6Ed,3
0x391C5f2E154Dbdc22bDbF035610F99B76ae03FF8,2
0x56fCca6Db2780B1AccA2CDd875882E9D16e8c401,2
0x68EAbf8B000AbfF6d55Cfa918D2fe0638d4F98af,2
0x6b86112F653E770966959Fa001D07C70230D07E8,2
0x7C82b6F073e9B00ba7715A2Cd90Af50A3FB24bC4,2
0x8FDe1E8367864e315B33542CC90E1d202c629E46,2
0x969eAc041CfA4baC53109Bffd20268293a68d805,2
0xB44373DEb287e83bA5FD8909F4076c9b9cCf0ec4,2
0x0331D52F47b0B5b63B9f903227e4C13f3B37312C,1
0x058a9BBaA8E8e4Dbd3DEfB383aEe69D617e83d6A,1
0x0fDdA2fe0C423Db2b38863B0aA6E013BfB45DBBE,1
0x108D0D52a0025FFF5e587cE01de1e1EbE475B05E,1
0x1142184C427c843172c14025DF52501536caFE26,1
0x174eca6cf96EC1135737A2c0C2E4f6767A25Ff36,1
0x1e3b89056537a181280392cDc3d0D21e6895413f,1
0x1e82e222564293e3507c2966b27f587EE2570671,1
0x34868ed83815AaA53cD1F85032Beaee678A9e8de,1
0x352D975F0C477282A4bb92E2d2F16652DDe1a3f7,1
0x38d8D3F7804d55CDCFf261F556c30f4550028405,1
0x3F097381B6140013aCa07243CCBC5faFD9e285D2,1
0x4A1E240af0F45Ed34FF7ADd5f172DdDc5C5B0a3c,1
0x4cd6435cE1c6e391779e234A12BcD2B3fBC47c39,1
0x561cEC0D07258d6167523518b7dB0aEfe8673d23,1
0x5c455cF7eb471A944c813C15184Ff359614CD80C,1
0x648ef3B1A8250A0656453258F5ccb813A01950F0,1
0x6514d99f5e0CCf26B8FB67C819e8Bb8D210b1423,1
0x6714C3A48C340C01D9925332Ac123d6f0b9D4741,1
0x6E7eaA393428adF0F2628eE7e2dE465795F276AA,1
0x77591A3D6da90835850909da7A896C88a3FC71bc,1
0x8482F908902Df26AB5523A81536C731b3BBe067f,1
0x87b8c235d3Fd6F4934D6D9E451CE6A21D8218Fa7,1
0x91e501E0586ABBFA708b2922EBF89c3321c43776,1
0x93F3a3A80817BFD3e3A47312cCFF5D76D84F510c,1
0x9a54e31807c6c8EaFDD012A412F1851e77FE7843,1
0xA7195C71AA20481fA0c093E51323F8A4D3a2F5D2,1
0xAb9fA2072A4fC7Ab1Acdb9ec1D8A54111e09323b,1
0xE6b9BB760e56e3f43B6E839Ac3D738039eC0cDeB,1
0xF7c5B4117d87968c46987C301EE9DCa68d4248A7,1
0xb020a07ee429A6a497262C4B03131EC0d8C27d27,1
0xc052b01C9DFe9e8e151aeBaf47C7d04b69675d9f,1
0x27Af137AAEf7BD85ae84Be841fDD8cBb8e79d3f7,1
0x85c4cDbBe7cbb7eEcecA0F835E66451De5a61D1C,1
0xFce8BA1CDA4070e4b31fD2909903Be1DA53Ae308,1
