wallet,amount
0xe0a9e5b59701a776575fdd6257c3f89ae362629a,40
0xc30129797dcca1c84f84752a012b5c19c3997270,25
0xd5498e03870fa11ac2c183d10184309fb58a0a1a,14
0xefdb6f88c3fba874b19efbc89dcdd34eeb19509a,10
0x2b4bb85532309f1d76cd8152ffa5ae19749dc119,10
0x4f8b4e6b1b8f2ee8190ba48bfb3a0a7d0c5cfc14,10
0x2b6274eba065f82ab1e269ae0705c4f3a24598a1,9
0xf01e841639a76ecb778d476e8e8d63fa8f6a92f1,8
0xc72d57b880a988d120141f09328f7daef527a8b0,5
0x574b4546cb756a8d36edf5907f4cc963a3cab612,4
0xc79c85398afc9ab27ed502707a7ac4e3e2136bf2,3
0x8cef7243992d3f04dc14bf99cd34f337bbdfa59a,3
0x10f920ffad95f53168af567ecd635a6dd03a8b43,2
0x6f325223e17797eee66d2e1fe12a9286f32d29b4,2
0xa67b3b54efbc6526890bfa5956df91d6813808ce,2
0x3b1b211b3fce0d1ee9f5e1afeecadeb98378d0b0,2
0x7dba8b857e1b9293e74abac71577056d295bb998,2
0xf2f86bc7e613cf7241babf4bd23882be5f029254,2
0x285d91512a5fc53484496ca1ba5fc610b6f3e475,1
0x5a58505a96d1dbf8df91cb21b54419fc36e93fde,1
0xd17fb9341ff49e1a73ae4a942996c88516b7311f,1
0x1628d0a40b903a643a1e4588b0e6949d8148e9da,1
0xa87f2bffb5c7c31278175b1543faf67c96e2dcfc,1
0x9d6f8dc5a5033c0d51462fda8490dfab3c13ee34,1
0xad35c6a6ffdfea73c9e9a03d0b71911da927883b,1
0xd90dc1f4806b183f08968b45f718d4b7b1d23f61,1
0xf2b7f9f8b1b90484c57d7737ec5c51c7bcd8fd12,1
0x13bf4152e8b499b15f272fd61eb4dabe88072d9f,1
0x444111cd376893afcd7405239ce72b64d5a22958,1
0x4bb4a30a3313860c93ea77534399a70c92ba0fc0,1
0x0b9d68ae51bbe4d370bd0c917c5483342f37af00,1
0xc05f4bcc0bb945359069b97d3fe9da840a3c4453,1
0xb16a310a68d2d51ba35cf3b523841876df6ec289,1
0x4fd0caded5653032ded95a54e4d89133ec2b1ac0,1
0x98fe704282cbe436c484add56a0dcacc11ca1a33,1
0x2cd0b3606c1f863e2639e33e715f54de89fb1858,1
0x3e18296d19d44f8e3d96c61aac58a763e2e50fa9,1
0xc42b499f9609f3c38e2f076a4885fc50e73d726b,1
0xa61790ae695b26ae57b83e797fb877f27274714b,1
0xf67d3717e963413fbae5a59494b32ee5d24da662,1
0x95ea098045e63460059f4ea7885d10660b7ed96e,1
0x518f0734b7db794f92a2e9c3f28238c44f6ce81a,1
0x770569f85346b971114e11e4bb5f7ac776673469,1
0x51c592f489d4ffde267d2aacf33b0ddca4510f24,1
0xff33c82337dce4a11af0bc4b7cd6d281738a5a37,1
0xe4a5eb4359ede75d8ede380403a3bb84011bd2cb,1
0x11aedf0f8b3f2c8e15bc714514eda646afef408a,1
0x7db2399b50c2c53a9e989c750c48dfb7db494c0f,1
