wallet,amount
0x9a773a0c1710a5afd9d25eb5b0d2dca2239663e6,227
0x5338035c008ea8c4b850052bc8dad6a33dc2206c,77
0x543d42c66527bfe8dd0bc948bacae850d5af82dc,76
0xddf5db33df28348f492164b7597219793303ccc8,46
0x8cdd7a500f21455361cf1c2e01c0525ce92481b2,45
0xa75f9c8246f7269279be4c969e7bc6eb619cc204,43
0x4d34773f43177c628d048961c7c1de71be610e84,40
0xd7b2879c8922cd704e41e8cc1f18f6994d6b7c36,37
0x93ec07ba1648b54787748d6e960a66ee442b8424,35
0x7c976f00e84db0b44f945fc6d7fad34b43150a1a,34
0x7e583420942155dc771d34d474f8ac1730b8c348,34
0xdfc4f3c9a2954a6307d842e8d46b1fa4fde2e14d,34
0x726cdc837384a7deb8bbea64beba2e7b4d7346c0,32
0x96e271c2977f4ee8373ce867b3d66a044fc7ad94,30
0x65aa7aac626fd8a665f609067c1f56c96aff6aa6,27
0x8487aec123f8716d10de72e9fc5db89ac1a08131,25
0xb319c06c96f676110acc674a2b608ddb3117f43b,25
0x7d673c30a16cbd0f5c3ef954100502a07efbc445,25
0xc818379cde58f3f684c716041ccdd36cc4f09ec3,24
0xb3c2fbe92e48ca74aa2b9bf0078c4fcf3539d41c,23
0xaa474c5f782e688d2616f2449cd7375fa914b10f,21
0xca0a72a8e3ca35e4a51a7903e4b30daaa3becf20,20
0xf324b966d6aa7e8ee91def0f43bdde2bfa8698a0,20
0x5d73e46e271109c7cafaaa6de4e3271b31164ccf,20
0xe12de32dec9c657183220e8f373de3f410850829,19
0x5caeed470cab8e11bd3412b131b4efd8acc8ef74,19
0xc3db4fb5c878015f8bee801e39d8e949fc241684,19
0xb7955d8d7eecb4d4a0f1f23512cc399fc052ec27,19
0x69bc1e3cc7987b5b9ae78efd04954f9fe078389c,19
0xf0b2908c638bc18f018933928d079f930a3c976d,19
0xddc454d36efa6ea87456530b5ab7febd9736b83e,18
0xad831bb2d0d2bece4c31cfb0a144f129d4f3c3e1,18
0x821455830e909599a8b0a9e38e7942fef53a80ad,18
0x93fc0c711c2df516bc442ad4b3ed47cc4001829b,18
0x583ae442a93b098bbc0556a5e4d892c66aea6b47,18
0xc30129797dcca1c84f84752a012b5c19c3997270,17
0x75b5906a037aab387ac4c4d8e42926ec7c3d3571,17
0xda25824ee511fd8cbfce7dc8b316820418a34a10,17
0x35465e95722f65e78e740c3aecc17d13cd7c33bc,16
0x89c47fee4dc45efa1dbf56c2b9d7556133c60118,16
0xbc37277871ab83b83b6e77a8419ac5cbb78d5cf1,16
0xbd3fb902425f05de98c3bdbf14c4c8d75b8f3580,15
0x0e692adbde792b5d1b0a79912cbe9c394cb5aee1,15
0xcda1a0ecd7d25b49ecbf0eec1f45f0b7fb59961b,15
0x71679859b212fd035ea84677e619e9620609c9dd,15
0x54ecc92c9407b74138fcf45e284425139687ca56,15
0x5ed83cd9c376b06a0ba2beac45611ff317667aa2,15
0xa77f95fa07849b96c181cfdd7d1113f266738f57,15
0x563cbe1a9ce552397b4bd20953bd13c4383f6bc7,15
0xeaeceb02671aa3dd6bab5b41987b022801dc0dd2,14
0x8017ff21bc4972d84a4dfff2141517daefd0c256,13
0xe6fa13e03a5b8ea4c9682540a06a5aaf0bc6cce3,13
0xb81fd00a9b843243139a2cb6c0e7d0aa3249de29,13
0x4c3188951df2d0ca4e6b6c787be770199d9f0c8f,12
0xc21076b4afb51e46965019ed50225542af8d4cc8,12
0x19208865265837d8cbfa0dfee304f94e8992ca3f,12
0x537bf75de19f3d229e3a9018ee1a23c0c9c7d39c,12
0x64e714344780b12384597f5bf9ae35f9adf98863,11
