wallet,amount
0x465f477d529a44de04a2bc599445bc29185ac358,10
0x0be708eafc31a270707f8b8a4ac0259b54b4740f,3
0xfd837163c375423e93dd51dadb8f6e34283a7f86,2
0x8c61c67a0bd08db2e78061bcc495363cf265ea6b,2
0x4a3f28a8ec307b9684ef5620867781a468e71091,2
0x935d2fd458fdf41b6f7b62471f593797866a3ce6,2
0x088873f2bf4490e7676536c261d96f47c78df56b,2
0x7088c5611dae159a640d940cde0a3221a4af8896,2
0x87616fa850c87a78f307878f32d808dad8f4d401,2
0x025376e7e7f161a198fb5fc90a220a553836d11a,1
0x000000000a38444e0a6e37d3b630d7e855a7cb13,1
0x058a9bbaa8e8e4dbd3defb383aee69d617e83d6a,1
0xd55bbd72a2b8ca19a7d0662d433ebc9997aac648,1
0xd9a16312980216f640ed3caac37c46ca7ce1166a,1
0xf7c5b4117d87968c46987c301ee9dca68d4248a7,1
0xf78ff4beb919d2aa32869a89de2fa5ddf09d1d01,1
0xbbccb911507dc8e65c39592cae4aa1310bb3a8f1,1
0xc1fa63bd4189a9c49a30010b6a3ab11194a95842,1
0xadf31546eefc2664337dcd16c1c607fa6a52a57e,1
0x9e60d6764c20923f7fd5e9e07d28ef4a03078f21,1
0x109d842aef40227b552070660fe2a38c60dce58b,1
0x4fb4f6c9299c64e8084abfba3f97f4e2eed8748f,1
0x47d228fb786bb14117625147f1055638f46b6893,1
0x9831485669c394b4060097ec56ee79e27682eae5,1
0x725e4bff61f65ad18e0e39821daa73355175408f,1
0xb71c02b7d75ee5c0aad7014ac458a543fa0c29db,1
0x9d6d83b7d0d8987b48945cfb225f032c90cd0d18,1
0x900556716d63c6370b8dd9c43fb6703d25e87a72,1
0x8c5fc43ad00cc53e11f61bece329ddc5e3ea0929,1
0x0fb32bd1ad49f738d87e2de521ed7439642fa862,1
0x886f9ab1b54d9ebaf7031d930b8c653b18b59688,1
0x63f620ce610e6ce09b18f8f1800a0c55e7fc80c1,1
0xe456399dd149f0209962e98aa007b2743304d4cc,1
0x01732178fe9411f1b46b526e5d52ed958ac0027e,1
0x5f53f1180bcff93a74a40180402e5b8be7d18cf0,1
0x7fc5dd837c28f3622a41e68c4b0c00cc2b29e881,1
0x3d5e4af8ef2fb321f4cf35475e75172155bdbfdf,1
0xc13624b31b5164e2900054ac9f9f21289a8112f6,1
0x20580139460ed4c3cc7af00beaea9cbcd6fc7f8e,1
