wallet,amount
0x2cb1ab8ca92eb678e3fe1d3823dcf9c52f63cae4,16
0x4a72fcee9e47cdbdb7a13916a65d64377cb6170e,12
0x8799a0d8abd6a1631a70170196b7bc84a3a803e4,9
0xf456f6749ed6db1bf7b341ebefa9b69d62e48754,9
0xe8e3e6843237e8ca24f245e2403535901a84e0e6,6
0x02009370ff755704e9acbd96042c1ab832d6067e,6
0x5338035c008ea8c4b850052bc8dad6a33dc2206c,6
0x7ba217ec4643a03f3477e9f2976ddab7ba5b9161,5
0x1d0c41e801520bb22e056e435f1e19ba32bbeef6,4
0xc05ed8f3adbc1007d9d8debc21a721aa951fad50,4
0x7ce80ec49bc4facbba5fc88e99ffbce900b44993,3
0xb41d6f4bdad2adfb160a2e22c1a00cd08ef7f794,3
0x3f3dedd362020a229cca78d19d535d6971fd667e,3
0xe40a35702d7ba6d1047067399e586f1c9a6ea417,3
0x5fb33d75a1cfcdc922e736c06e01c1505b4643db,3
0x1f11ecfa5aafb66315dcf57c7bb7dca9a079ddbe,2
0xa932bddd17af3817ffbdcd78bfa02a4a8e7d306d,2
0x36a82b407bdebddaf673c08a5cf8f7b19e5cf2b5,2
0x1deef42840759278d4b575890b3e1e5f83be2a61,2
0xd600ee8c118b0617cac8b0c297eaa54631857fb1,2
0xb3a399cf9c83f7dde73244131c8e50ae95dcc8b6,2
0x9e7943ceac1f02b00e5f9d6e182f257efaa4653e,2
0xe947f51c79fec4f35e9bc96202d63798a0931e0c,2
0x7246a274656e797fab4b02eb1e0581d46f0358e2,2
0x32b4f9cedfca6383d4a8aa3814cedfeac609e67a,1
0x03e0469ca10c8b3a76a5312fb6f2a06698934bf4,1
0x7476ac8fc6ecde007d9c7120a8d10de6474aa18d,1
0x640b31b2c5cf650c2a75c7018af19ee5bf8f20c3,1
0x031fe019b130bfe0029fe20c1713ca822c4161fb,1
0xf86b92a7508958fa1b9a7e600aee33ab7bf8664a,1
0x9659bfece97ab1b2ea097fdfe345d8f6a5990206,1
0x386bd349b8395a73c22c3d13717c107090319ee9,1
0xcdb3ce70f270ac4d8b53ea718a4911cc691f2e43,1
0xf97a1d88e8a72f85757af902457442ca653c1005,1
0xf6862636285e72d5437a49d8c5fcf9866edf3200,1
0x23b61eaf12ec3410f0c5085a1db8aa39a61f798a,1
0x8bc8b4e4921101bcc56ec084b906069b73de7276,1
0x865add835bdff6d817a23062b1a700cd8896dea0,1
0xbf2b89dcc2e65fd91e91a3d49721a443abcd8f6a,1
0x9e09dc51ad3b33464093f5505b81bc96e2eccde0,1
0xa15cd8d326d75c3ad7b347af16f07d7f9adef8cc,1
0xa636319bafec2b5fb5410e4bd84fb03b778e29c8,1
0xd520912473998bc62d825aefcaf75527632c7aed,1
0xa12a1112debfe242dd63615a4608fc2142557917,1
0xc91b8226076a3b57738efea988be657d4b4abe8a,1
0x3982eb3aeb3aedbb9fea08148ed51ca9950599e8,1
0x714c3c5ff30a03f7a0aa4c891449fe331272775a,1
0xfc209f974dbe3c4812f7f650a0d028dcd5d1a544,1
0x117e1ebb7d05545064850513021df6ade3c1690b,1
0xca49ecb168c4be0c2ebf744cedf6c9f1d84ba854,1
0x7856511063aab2ea73f87069000bc74d45867066,1
0xf78c3a7514055c8fdf95ac594eb2f27784e807db,1
0x420f5a4a8ea8905f9e00dbf4c7a13f568b183fea,1
0x00a95bda4422b39e06eb44bb0a32238d852ae36e,1
0x0d8ffd05c3b56604ef791afdebe4fc45f7ad69a0,1
0x47a9e0c1fbb8ad19fc60f06143469a2520659a29,1
0x62054f278117cf644e6ad3299554980c5b5e131a,1
0xd1479a710f0d17eaed467b3adb780ce40b388a9d,1
0x677574ccc8748e2140889b224540c384fbff7f5a,1
0x60282772ab3e7f9e71b6eabd698ce4de82a18776,1
0x2a07272af1327699f36f06835a2410f4367e7a5c,1
0xeea6e7b5d01ad19ebb949314484b40a2f96caab4,1
0xa7c9f293d678a98a00fe356aa2436d8f77a839ed,1
0x95a7b00c0cd30e3260cdf4285e314c509ce96059,1
0x65150b5fa861481651225ef4412136dcbf696232,1
0x5f49d57ad20e117ed5c31ec6d7461946190ecab1,1
0xa0825f3787a4a2625ea43780302fe07846c2c6a8,1
0x0ae02e7723ff745bc759ecfc0726633e09f42c9b,1
0xb799346af2aa1949b8132fe12d8d8ea671a0e9e8,1
0xb70b35791b17e5c999313e104fc46c1600eae0ed,1
0x3489e52ee29c11ae75edb40f92d7f2781517b66a,1
0xc3adecda118dc29309ad4c58a9559490307f23f6,1
0xa8541e4b65bae5a703c333970be1bb85f2658591,1
0x7f1d4d2c6e8490aac7f93c15177e9ef08f292c91,1
0x8a1e0320180f0231dd31fd65966e6bff32e9cbe6,1
0xd03de905e18ef4c8c95ed8af1be6ab01eaa0b77f,1
0xa91a00bedec509be84a8d5d7bc19a2da2216c7ed,1
0x68c9258b87b1cd4302bd1c3d2e44c539e32d7d78,1
0xd947e9dbb0e173874cbe28aff8d71196ed92c9a1,1
0xa1e1247de39ffcdbebfb48700cd7bd72edfb7296,1
0xc2602b1aefae184ed1d190727ad7e13117b0d00b,1
0xf61057464ca02aeb26074548c7048850f56ab606,1
0x0fbc0c1e58a21459e832e5ff4b66e149b7c3d2d3,1
0x7ada1723767a590b44a44848b6466b1fa1d8178d,1
0x5355f2017acfc420d0765b4cf7b4a9f3ab126bad,1
0x1b7e4138e2cd84a7e5f460c3053426678c474bd2,1
0x09ef9a5faca4f09a9a58fc2898fc4fbddded8b70,1
0x7d1d75e9aa128b1638329b9166b9711187909a67,1
0x9bded86154da7255e3be244a842fad6aee0eedb0,1
0xda25824ee511fd8cbfce7dc8b316820418a34a10,1
0x65ba4f92d7dfa813ddbd849d9faf38a723dd9b12,1
0x30e51bc5fe4edf28fef2681c44dee9032d138e8d,1
0x9017c2af5e55e1bc6b7e8b41bf732a8e8cbbab0f,1
0x969eac041cfa4bac53109bffd20268293a68d805,1
0xa80649726fd883f4fd6be77c1be370218ce82361,1
0x6c68b7cb55ffcb3c27051107caf3fdde5d9df239,1
0x39bd82f228bd622e8caaec1023e75959334cde19,1
0x39a927ea65f1c8da3b6212331d8897c7d9b305b3,1
0x24868d5ac5ee1373a03f5dbae17f4491dafc37a9,1
0x8c150d49016a53eac058f0669108e0d4f0674d47,1
0xb32fc7b40a89e0547bd16664a57fcfceecbeeeec,1
0xc444fc1fc8ee314d2eaee78e2a832f68c7c49c07,1
0xe33308a29c20a72803d103220c0a108da3e1a4d2,1
0x959f65f76fe7f15a70c9de11f7302e155f7ec48c,1
0x0002fd0f1d0708fdf065d3625b2ee83d210d58d9,1
0xf7c5b4117d87968c46987c301ee9dca68d4248a7,1
0xc78ad020221b054574295705fa13d0bdfbe19eca,1
0xb123cd952875d8014efc7a9160a7531a5fe8f5ca,1
