Transaction Hash,Blockno,UnixTimestamp,DateTime (UTC),From,To,ContractAddress,Value_IN(ETH),Value_OUT(ETH),CurrentValue/Eth,TxnFee(ETH),TxnFee(USD),Historical $Price/Eth,Status,ErrCode,Method,ChainId,Chain,Value(ETH)
0x3d899c0ae8df17be8474feb58d1fff65bf7a873c5b505ccca2e218450b764245,46099255,1717096796,2024-05-30T19:19:56.000Z,0xFce8BA1CDA4070e4b31fD2909903Be1DA53Ae308,0x6047782281C8A3eC7F847EB2dA5222376e1C13E0,0x6047782281C8A3eC7F847EB2dA5222376e1C13E0,800000000000000000,0,36.19,0,0,36.72,,,TraverseChains,43114,C-Chain,0
0x4c04bb9dce96b489866d1469e809db0958671d9973690d51433f198f212eefef,45304784,1715429471,2024-05-11T12:11:11.000Z,0x85c4cDbBe7cbb7eEcecA0F835E66451De5a61D1C,0x6047782281C8A3eC7F847EB2dA5222376e1C13E0,0x6047782281C8A3eC7F847EB2dA5222376e1C13E0,9390093186199411,0,36.19,0,0,33.70724423219602,,,TraverseChains,43114,C-Chain,0
0x4282ce5db849246db197faa0a7386f36ca19a34807ddfedea1e545e397f5f9cf,44985995,1714757000,2024-05-03T17:23:20.000Z,0x27Af137AAEf7BD85ae84Be841fDD8cBb8e79d3f7,0x6047782281C8A3eC7F847EB2dA5222376e1C13E0,0x6047782281C8A3eC7F847EB2dA5222376e1C13E0,521499278991931508,0,36.19,0,0,33.623657666410224,,,TraverseChains,43114,C-Chain,0
0x9451edc51b58417ad12097e4485c12ec707ef661d7a419a407bcebdc45cae512,44888243,1714551168,2024-05-01T08:12:48.000Z,0x0fDdA2fe0C423Db2b38863B0aA6E013BfB45DBBE,0x6047782281C8A3eC7F847EB2dA5222376e1C13E0,0x6047782281C8A3eC7F847EB2dA5222376e1C13E0,0,0,36.19,0,0,32.73187024563664,,,SetApprovalForAll,43114,C-Chain,0
0xd7244f2dd216978047d2715035b283e41ab3b9f91b2d8f4a0d0b82d355e64716,44618958,1713989042,2024-04-24T20:04:02.000Z,0x6E7eaA393428adF0F2628eE7e2dE465795F276AA,0x6047782281C8A3eC7F847EB2dA5222376e1C13E0,0x6047782281C8A3eC7F847EB2dA5222376e1C13E0,8953364478760955,0,36.19,0,0,38.26589873002594,,,TraverseChains,43114,C-Chain,0
0x5a3cce183c2b099aa1421f1f40da2c475468884eee35c102c87614cbe6e20fa3,44498671,1713737548,2024-04-21T22:12:28.000Z,0x0313D8C358b32057d8DaDE46a3a0f21A70982c5E,0x6047782281C8A3eC7F847EB2dA5222376e1C13E0,0x6047782281C8A3eC7F847EB2dA5222376e1C13E0,100000000000000000,0,36.19,0,0,38.22248986200569,,,TraverseChains,43114,C-Chain,0
0xd63aca417a14c3155964163fe2eeab5ed137d9665edbb53549b00a90ca021c16,44234844,1713186769,2024-04-15T13:12:49.000Z,0x85c4cDbBe7cbb7eEcecA0F835E66451De5a61D1C,0x6047782281C8A3eC7F847EB2dA5222376e1C13E0,0x6047782281C8A3eC7F847EB2dA5222376e1C13E0,9752043969281206,0,36.19,0,0,37.46766833258995,,,TraverseChains,43114,C-Chain,0
0x3ce9f1c224accf94f9f88326f17a3bf29c96b20d23ca5ad93ad288a0e44a4094,44228903,1713174414,2024-04-15T09:46:54.000Z,0xF16B2dA59B8731C0c2176653Cad5086F5f1C0220,0x6047782281C8A3eC7F847EB2dA5222376e1C13E0,0x6047782281C8A3eC7F847EB2dA5222376e1C13E0,9523556032549040,0,36.19,0,0,37.46766833258995,,,TraverseChains,43114,C-Chain,0
0x3115479bcac3cc74cd68c653f407641cda69182efb52cea5652680ff047ed5eb,44223367,1713162931,2024-04-15T06:35:31.000Z,0x0616072d6937245C9186B63adC4e746F576b777c,0x6047782281C8A3eC7F847EB2dA5222376e1C13E0,0x6047782281C8A3eC7F847EB2dA5222376e1C13E0,100000000000000000,0,36.19,0,0,37.46766833258995,,,TraverseChains,43114,C-Chain,0
0x14db3160a1b9f51700069a87337024bd6ef3a3668c03230bd3d83029031d6388,44222798,1713161769,2024-04-15T06:16:09.000Z,0x4FB711243a0125531a76Ab21f48142bB2075cE0b,0x6047782281C8A3eC7F847EB2dA5222376e1C13E0,0x6047782281C8A3eC7F847EB2dA5222376e1C13E0,80000000000000000,0,36.19,0,0,37.46766833258995,,,TraverseChains,43114,C-Chain,0
